LatC,LonC,country,pop
50.75,5.25,BE,648636.069824219
50.25,5.75,BE,121977.939941406
46.25,6.25,CH,1066920.20108032
45.75,6.75,CH,103823.30727461
46.25,6.75,CH,297175.678115845
46.75,6.75,CH,640706.236886978
45.75,7.25,CH,95491.6374517325
46.25,7.25,CH,226530.00958252
46.75,7.25,CH,539961.541595459
47.25,7.25,CH,381867.724334717
46.25,7.75,CH,103753.699062347
46.75,7.75,CH,312681.206813812
47.25,7.75,CH,614137.140686035
46.25,8.25,CH,73693.6661476176
46.75,8.25,CH,112102.701929569
47.25,8.25,CH,1203220.72558594
45.75,8.75,CH,1497408.82540894
46.25,8.75,CH,216215.341727138
46.75,8.75,CH,59415.2951812744
47.25,8.75,CH,1381424.07525635
46.25,9.25,CH,162402.831100971
46.75,9.25,CH,71214.6088752747
47.25,9.25,CH,461050.76651001
46.25,9.75,CH,107620.765738899
50.75,5.75,DE,1275955.08782959
49.25,6.25,DE,658539.723358154
49.75,6.25,DE,413896.916412354
50.25,6.25,DE,104827.03276062
50.75,6.25,DE,920371.20123291
51.25,6.25,DE,968166.370727539
49.25,6.75,DE,662813.156829834
49.75,6.75,DE,362614.405212402
50.25,6.75,DE,127873.217010498
50.75,6.75,DE,1120777.65374756
51.25,6.75,DE,2866484.92700195
51.75,6.75,DE,941082.53527832
52.25,6.75,DE,693834.882385254
53.25,6.75,DE,488252.387059033
49.25,7.25,DE,603200.696228027
49.75,7.25,DE,209406.542907715
50.25,7.25,DE,304550.459457397
50.75,7.25,DE,1493169.15307617
51.25,7.25,DE,2151828.92529297
51.75,7.25,DE,1380127.44494629
52.25,7.25,DE,396600.241424561
52.75,7.25,DE,239658.185211182
53.25,7.25,DE,296403.650402278
47.75,7.75,DE,975529.758728027
48.25,7.75,DE,611984.685241699
49.25,7.75,DE,383117.566879272
49.75,7.75,DE,303643.060272217
50.25,7.75,DE,462029.928771973
50.75,7.75,DE,427877.669372559
51.25,7.75,DE,801710.697143555
51.75,7.75,DE,1018857.99609375
52.25,7.75,DE,465535.607971191
52.75,7.75,DE,162873.577514648
53.25,7.75,DE,236386.38092041
47.75,8.25,DE,292392.817871094
48.25,8.25,DE,287279.528839111
48.75,8.25,DE,608318.424591064
49.25,8.25,DE,951564.624511719
49.75,8.25,DE,963588.533935547
50.25,8.25,DE,891380.095153809
50.75,8.25,DE,404138.376708984
51.25,8.25,DE,241794.702331543
51.75,8.25,DE,566329.907470703
52.25,8.25,DE,510255.707550049
52.75,8.25,DE,265144.13067627
53.25,8.25,DE,377050.657236099
53.75,8.25,DE,98840.3907055855
54.25,8.25,DE,266.011361718178
47.75,8.75,DE,575016.581420898
48.25,8.75,DE,424100.886230469
48.75,8.75,DE,746400.425415039
49.25,8.75,DE,983285.794799805
49.75,8.75,DE,958273.133239746
50.25,8.75,DE,1749792.55688477
50.75,8.75,DE,456121.998718262
51.25,8.75,DE,164790.340881348
51.75,8.75,DE,604562.671691895
52.25,8.75,DE,746601.19921875
52.75,8.75,DE,171778.496307373
53.25,8.75,DE,830951.56854248
53.75,8.75,DE,225231.429153144
54.25,8.75,DE,35235.9572800994
47.75,9.25,DE,461690.387695312
48.25,9.25,DE,351843.579406738
48.75,9.25,DE,2087121.07092285
49.25,9.25,DE,574838.096740723
49.75,9.25,DE,357337.65184021
50.25,9.25,DE,371852.194473267
50.75,9.25,DE,168295.325134277
51.25,9.25,DE,405963.306762695
51.75,9.25,DE,218978.253583908
52.25,9.25,DE,377240.864440918
52.75,9.25,DE,192765.564880371
53.25,9.25,DE,183324.639038086
53.75,9.25,DE,199580.996566772
54.25,9.25,DE,147348.486923218
47.25,9.75,DE,490956.503211975
47.75,9.75,DE,412780.15802002
48.25,9.75,DE,384925.222579956
48.75,9.75,DE,542488.715332031
49.25,9.75,DE,238274.63079834
49.75,9.75,DE,358516.963378906
50.25,9.75,DE,160168.527183533
50.75,9.75,DE,258705.904968262
51.25,9.75,DE,278079.210849762
51.75,9.75,DE,272272.137591362
52.25,9.75,DE,1052895.82440186
52.75,9.75,DE,170454.63368988
53.25,9.75,DE,472605.18270874
53.75,9.75,DE,996693.471435547
54.25,9.75,DE,251022.680664062
47.75,10.25,DE,308342.463165283
48.25,10.25,DE,396936.429595947
48.75,10.25,DE,334160.250366211
49.25,10.25,DE,180246.725524902
49.75,10.25,DE,225671.009017944
50.25,10.25,DE,246104.15864563
50.75,10.25,DE,186360.352233887
51.25,10.25,DE,196524.761352539
51.75,10.25,DE,249390.438271761
52.25,10.25,DE,480044.163330078
52.75,10.25,DE,179961.723312378
53.25,10.25,DE,687295.49319458
53.75,10.25,DE,1022532.35765457
54.25,10.25,DE,461383.62774244
47.25,10.75,DE,97919.3046207428
47.75,10.75,DE,225214.086084366
48.25,10.75,DE,656586.596740723
48.75,10.75,DE,211513.711975098
49.25,10.75,DE,359678.981201172
49.75,10.75,DE,455241.989715576
50.25,10.75,DE,184184.973999023
50.75,10.75,DE,319268.961578369
51.25,10.75,DE,177810.670043945
51.75,10.75,DE,193883.589639664
52.25,10.75,DE,499133.334350586
52.75,10.75,DE,116707.600448608
53.25,10.75,DE,114581.411833763
53.75,10.75,DE,385733.589317322
47.75,11.25,DE,265037.981571198
48.25,11.25,DE,1030527.11120605
48.75,11.25,DE,366752.500183105
49.25,11.25,DE,767500.966140747
49.75,11.25,DE,362631.606414795
50.25,11.25,DE,260283.865386963
50.75,11.25,DE,276545.532562256
51.25,11.25,DE,202488.189498901
51.75,11.25,DE,184532.848205566
52.25,11.25,DE,118864.594711304
52.75,11.25,DE,68605.7890892029
53.25,11.25,DE,73484.6005401611
53.75,11.25,DE,202940.130984053
47.75,11.75,DE,218928.144424438
48.25,11.75,DE,1688148.93807983
48.75,11.75,DE,233421.337295532
49.25,11.75,DE,190209.256134033
49.75,11.75,DE,211452.18901062
50.25,11.75,DE,200649.972686768
50.75,11.75,DE,266153.426269531
51.25,11.75,DE,316768.437438965
51.75,11.75,DE,258475.068908691
52.25,11.75,DE,359488.429000854
52.75,11.75,DE,89696.8567504883
53.25,11.75,DE,76382.7488098145
53.75,11.75,DE,74026.5827026367
47.75,12.25,DE,330174.534426689
48.25,12.25,DE,244776.807189941
48.75,12.25,DE,344986.006958008
49.25,12.25,DE,312932.919204712
50.25,12.25,DE,241206.591903687
50.75,12.25,DE,438968.225616455
51.25,12.25,DE,805151.339599609
51.75,12.25,DE,264975.212921143
52.25,12.25,DE,85212.9139099121
52.75,12.25,DE,77863.5627288818
53.25,12.25,DE,52185.4457969666
53.75,12.25,DE,82342.1825485229
54.25,12.25,DE,261291.52968733
47.25,12.75,DE,74624.1699333191
48.25,12.75,DE,256645.269866943
